"PC","Eigenvalue"
1,4.82657253063476
2,1.87651749057298
3,1.45592135301692
4,1.36818661043522
5,1.308440813707
6,1.28254186340886
7,1.24632792550141
8,1.23845808915738
9,1.22782302498631
10,1.2199564147734
11,1.1986570624396
12,1.19464945359437
13,1.18556834568477
14,1.17887514646987
15,1.17444684186301
16,1.16174653796127
17,1.15720482279422
18,1.15368249495093
19,1.14756072273311
20,1.1453511454483
21,1.14276673068946
22,1.13843243768578
23,1.13604238177301
24,1.13252589360998
25,1.12975736567555
26,1.12824598282057
27,1.12506286902666
28,1.12372894126702
29,1.11904371761364
30,1.11704490042846
31,1.11480210903535
32,1.11286558888839
