"comparison","mean_dxy","sd_dxy","n","se_dxy","label","mu","g","generations","years"
"Het vs Hom2",0.0080104125300126,0.00585788971187042,4050,9.20478564156997e-05,"Best-guess",4.85e-09,0.0548,825815.724743567,45254.7017159475
"Hom1 vs Het",0.00834571383372361,0.00513950960914476,4050,8.07596021466597e-05,"Best-guess",4.85e-09,0.0548,860382.869456043,47148.9812461911
"Hom1 vs Hom2",0.00896497539883003,0.00612914225300121,4050,9.631017888787e-05,"Best-guess",4.85e-09,0.0548,924224.267920622,50647.4898820501
"Het vs Hom2",0.0080104125300126,0.00585788971187042,4050,9.20478564156997e-05,"Minimum",8e-09,0.0548,500650.783125787,27435.6629152931
"Hom1 vs Het",0.00834571383372361,0.00513950960914476,4050,8.07596021466597e-05,"Minimum",8e-09,0.0548,521607.114607726,28584.0698805034
"Hom1 vs Hom2",0.00896497539883003,0.00612914225300121,4050,9.631017888787e-05,"Minimum",8e-09,0.0548,560310.962426877,30705.0407409929
"Het vs Hom2",0.0080104125300126,0.00585788971187042,4050,9.20478564156997e-05,"Maximum",1e-09,0.0822,4005206.2650063,329227.954983518
"Hom1 vs Het",0.00834571383372361,0.00513950960914476,4050,8.07596021466597e-05,"Maximum",1e-09,0.0822,4172856.91686181,343008.83856604
"Hom1 vs Hom2",0.00896497539883003,0.00612914225300121,4050,9.631017888787e-05,"Maximum",1e-09,0.0822,4482487.69941502,368460.488891914
